Defender|defender_lockout|wp-defender
Download Monitor|dlm_downloads|download-monitor
Download Monitor|dlm_reports_log|download-monitor
Easy Digital Downloads|edd_notes|easy-digital-downloads
Easy Digital Downloads|edd_ordermeta|easy-digital-downloads
Easy Digital Downloads|edd_orders|easy-digital-downloads
Easy Digital Downloads|edd_order_items|easy-digital-downloads
Easy Digital Downloads|edd_order_transactions|easy-digital-downloads
Easy Digital Downloads|edd_customer_email_addresses|easy-digital-downloads
Easy Digital Downloads|edd_order_itemmeta|easy-digital-downloads
Easy Digital Downloads|edd_order_addresses|easy-digital-downloads
Easy Digital Downloads|edd_customer_addresses|easy-digital-downloads
Easy Digital Downloads|edd_order_adjustments|easy-digital-downloads
Easy Digital Downloads|edd_logs_api_requests|easy-digital-downloads
Easy Digital Downloads|edd_logs_api_requestmeta|easy-digital-downloads
Easy Digital Downloads|edd_logs_file_downloads|easy-digital-downloads
Easy Digital Downloads|edd_logs|easy-digital-downloads
Easy Digital Downloads|edd_logs_file_downloadmeta|easy-digital-downloads
Easy Digital Downloads|edd_adjustments|easy-digital-downloads
Easy Digital Downloads|edd_adjustmentmeta|easy-digital-downloads
Easy Digital Downloads|edd_logmeta|easy-digital-downloads
Easy Digital Downloads|edd_notemeta|easy-digital-downloads
Easy Digital Downloads|edd_order_adjustmentmeta|easy-digital-downloads
Elementor|e_notes|elementor
Elementor Pro|e_submissions|elementor
Elementor Pro|e_submissions_actions_log|elementor
Elementor Pro|e_notes_users_relations|elementor
Elementor Pro|e_submissions_values|elementor
Error Log Monitor|elm_summary|plugin
Error Log Monitor|elm_summary_progress|plugin
Error Log Monitor|elm_daily_stats|plugin
Error Log Monitor|elm_hourly_stats|plugin
Events Made Easy|eme_people|events-made-easy
Events Made Easy|eme_bookings|events-made-easy
Events Made Easy|eme_task_signups|events-made-easy
Events Made Easy|eme_dgroups|events-made-easy
Events Made Easy|eme_members|events-made-easy
Events Made Easy|eme_discounts|events-made-easy
Events Made Easy|eme_formfields|events-made-easy
Events Made Easy|eme_attendances|events-made-easy
Events Made Easy|eme_groups|events-made-easy
Events Made Easy|eme_holidays|events-made-easy
Events Made Easy|eme_recurrence|events-made-easy
Events Made Easy|eme_categories|events-made-easy
Events Made Easy|eme_locations|events-made-easy
Events Made Easy|eme_states|events-made-easy
Events Made Easy|eme_countries|events-made-easy
Events Made Easy|eme_mailings|events-made-easy
Events Made Easy|eme_tasks|events-made-easy
Events Made Easy|eme_memberships|events-made-easy
Events Made Easy|eme_templates|events-made-easy
Events Made Easy|eme_usergroups|events-made-easy
Events Made Easy|eme_events|events-made-easy
Events Made Easy|eme_answers|events-made-easy
Events Made Easy|eme_mqueue|events-made-easy
Events Made Easy|eme_payments|events-made-easy
Events Manager|em_tickets_bookings|events-manager
Events Manager|em_coupons|events-manager
Events Manager|em_bookings_relationships|events-manager
Events Manager|em_transactions|events-manager
Events Manager|em_email_queue|events-manager
Events Manager|em_price_options|events-manager
Events Manager|em_meta|events-manager
FacetWP|facetwp_index|index
Fluent Forms|fluentform_form_analytics|fluentform
Fluent Forms|fluentform_submission_meta|fluentform
Fluent Forms|fluentform_order_items|fluentform
Fluent Forms|fluentform_draft_submissions|fluentform
Fluent Forms|fluentform_subscriptions|fluentform
Fluent Forms|fluentform_forms|fluentform
FluentSMTP|fsmpt_email_logs|fluent-smtp
Follow-Up Emails|followup_customers|woocommerce-follow-up-emails
Follow-Up Emails|followup_customer_orders|woocommerce-follow-up-emails
Follow-Up Emails|followup_customer_carts|woocommerce-follow-up-emails
Follow-Up Emails|followup_order_items|woocommerce-follow-up-emails
Follow-Up Emails|followup_email_orders|woocommerce-follow-up-emails
Follow-Up Emails|followup_order_categories|woocommerce-follow-up-emails
Follow-Up Emails|followup_subscriber_lists|woocommerce-follow-up-emails
Follow-Up Emails|followup_subscribers_to_lists|woocommerce-follow-up-emails
Follow-Up Emails|followup_subscribers|woocommerce-follow-up-emails
Follow-Up Emails|followup_coupons|woocommerce-follow-up-emails
Follow-Up Emails|followup_customer_notes|woocommerce-follow-up-emails
Follow-Up Emails|followup_email_excludes|woocommerce-follow-up-emails
Follow-Up Emails|followup_coupon_logs|woocommerce-follow-up-emails
Follow-Up Emails|followup_email_logs|woocommerce-follow-up-emails
Follow-Up Emails|followup_email_tracking|woocommerce-follow-up-emails
Follow-Up Emails|followup_followup_history|woocommerce-follow-up-emails
FS Poster|fs_accounts|fs-poster
FS Poster|fs_account_access_tokens|fs-poster
FS Poster|fs_account_groups|fs-poster
FS Poster|fs_account_groups_data|fs-poster
FS Poster|fs_account_nodes|fs-poster
FS Poster|fs_account_node_status|fs-poster
FS Poster|fs_account_status|fs-poster
FS Poster|fs_apps|fs-poster
FS Poster|fs_feeds|fs-poster
FS Poster|fs_grouped_accounts|fs-poster
FS Poster|fs_post_comments|fs-poster
FS Poster|fs_schedules|fs-poster
FS Poster|fs_account_sessions|fs-poster
GeoDirectory|countries|geodirectory
GeoDirectory|geodir_gd_place_detail|geodirectory
GeoDirectory|geodir_post_reports|geodirectory
GeoDirectory|geodir_api_keys|geodirectory
GeoDirectory|geodir_custom_fields|geodirectory
GeoDirectory|geodir_custom_sort_fields|geodirectory
GeoDirectory|geodir_attachments|geodirectory
GeoDirectory|geodir_tabs_layout|geodirectory
GeoDirectory|geodir_post_review|geodirectory
Germanized for WooCommerce|storeabill_document_itemmeta|woocommerce-germanized
Germanized for WooCommerce|storeabill_documentmeta|woocommerce-germanized
Germanized for WooCommerce|storeabill_document_items|woocommerce-germanized
Germanized for WooCommerce|storeabill_documents|woocommerce-germanized
Germanized for WooCommerce|storeabill_document_notices|woocommerce-germanized
